chart_type,candidate_labels,covered_labels,coverage,charts,covered_charts,mae_covered,median_absolute_error_covered,axis_error_threshold,correct_labels,accuracy_all,accuracy_covered
all,346,259,0.7485549132947977,107,87,0.773650046910131,0.11731284726411673,0.01,226,0.653179190751445,0.8725868725868726
all,346,259,0.7485549132947977,107,87,0.773650046910131,0.11731284726411673,0.02,237,0.684971098265896,0.915057915057915
all,346,259,0.7485549132947977,107,87,0.773650046910131,0.11731284726411673,0.05,247,0.7138728323699421,0.9536679536679536
bar,308,229,0.7435064935064936,88,72,0.5525069418105863,0.1077583014937673,0.01,214,0.6948051948051948,0.9344978165938864
bar,308,229,0.7435064935064936,88,72,0.5525069418105863,0.1077583014937673,0.02,223,0.724025974025974,0.9737991266375546
bar,308,229,0.7435064935064936,88,72,0.5525069418105863,0.1077583014937673,0.05,229,0.7435064935064936,1.0
line,38,30,0.7894736842105263,19,15,2.461709082503322,0.7491788491586284,0.01,12,0.3157894736842105,0.4
line,38,30,0.7894736842105263,19,15,2.461709082503322,0.7491788491586284,0.02,14,0.3684210526315789,0.4666666666666667
line,38,30,0.7894736842105263,19,15,2.461709082503322,0.7491788491586284,0.05,18,0.47368421052631576,0.6
