slice,bucket,method,total_samples,eligible_samples,coverage,mae,median_absolute_error,mean_relative_error,mean_axis_normalized_error,median_axis_normalized_error,within_1pct_axis_span,within_2pct_axis_span,within_5pct_axis_span
line_crossing_near_target,False,auto_local,38,38,1.0,0.31210532026148613,0.16004320129114546,0.015694633612986755,0.00908824569553212,0.0051598268111137,0.6842105263157895,0.868421052631579,0.9736842105263158
line_crossing_near_target,None,auto_local,13,0,0.0,,,,,,,,
series_count_bucket,2,auto_local,18,15,0.8333333333333334,0.39317290243044173,0.06523944457268271,0.011352133635253796,0.010723486917046466,0.0024485810978525716,0.6,0.8666666666666667,0.9333333333333333
series_count_bucket,3+,auto_local,35,23,0.6571428571428571,0.25923515797738467,0.20474419385897136,0.01852669881585607,0.00802178402932711,0.005262415508036807,0.7391304347826086,0.8695652173913043,1.0
color_margin_bucket,ge_14,auto_local,41,38,0.926829268292683,0.31210532026148613,0.16004320129114546,0.015694633612986755,0.00908824569553212,0.0051598268111137,0.6842105263157895,0.868421052631579,0.9736842105263158
color_margin_bucket,missing,auto_local,11,0,0.0,,,,,,,,
