split,chart_type,method,n,chart_count,mae,median_absolute_error,rmse,mean_relative_error,median_relative_error,mean_axis_normalized_error,median_axis_normalized_error,within_1pct_axis,within_2pct_axis,within_5pct_axis,mean_signed_error
train,all,raw,65,65,0.7024841909721754,0.15137359105129278,1.950277355060772,0.016678799643759557,0.007176306026880617,0.008265146218295084,0.004977577696975896,0.8769230769230769,0.9384615384615385,0.9692307692307692,-0.6625679415074337
train,all,calibrated,65,65,0.4795088071090404,0.06604610792323662,1.2176967734853308,0.012896046099809703,0.0033427518110984798,0.006199103265265388,0.0021663638987544395,0.8615384615384616,0.9538461538461539,0.9692307692307692,-0.08780014932499439
test,all,raw,22,22,1.7602704403752767,0.07433225257697162,6.434040840595417,0.04676563042728971,0.00868495519824138,0.013941162195353157,0.003957575197016299,0.9090909090909091,0.9090909090909091,0.9545454545454546,-1.7172035173864648
test,all,calibrated,22,22,1.4215724658297424,0.07162186248513347,6.158209978780983,0.04249517370673231,0.0036318560643148062,0.012387270437052232,0.0026439275378635314,0.9090909090909091,0.9090909090909091,0.9545454545454546,-1.284870592421145
all,all,raw,87,87,0.9699703689821549,0.1259973515626669,3.648278145832098,0.024286963749939598,0.007239187726598928,0.009700460603298275,0.004539778506689099,0.8850574712643678,0.9310344827586207,0.9655172413793104,-0.9292573974768434
all,all,calibrated,87,87,0.7177318012682983,0.06724551765531395,3.2707325557020517,0.020380882965928066,0.0034856186591465904,0.0077639271477861985,0.0022233264302532413,0.8735632183908046,0.9425287356321839,0.9655172413793104,-0.39050761769413594
