subset,method,total_samples,eligible_samples,coverage,mae,median_absolute_error,mean_relative_error,mean_axis_normalized_error,median_axis_normalized_error,within_1pct_axis_span,within_2pct_axis_span,within_5pct_axis_span
single_line,auto_column,12,7,0.5833333333333334,22.341715393002833,0.014159652457235161,5.461915542922758,0.07776023866733799,0.0016237402182842694,0.5714285714285714,0.7142857142857143,0.7142857142857143
single_line,auto_local,12,7,0.5833333333333334,22.27696412002203,0.012458946980953733,5.451252885021409,0.07415608100339188,0.0010608410845947404,0.5714285714285714,0.7142857142857143,0.7142857142857143
multi_line,auto_column,53,37,0.6981132075471698,0.2272353419839098,0.1707937225755991,0.012120926017146254,0.007429450710582237,0.004640957434033636,0.7297297297297297,0.918918918918919,1.0
multi_line,auto_local,53,38,0.7169811320754716,0.31210532026148613,0.16004320129114546,0.015694633612986755,0.00908824569553212,0.0051598268111137,0.6842105263157895,0.868421052631579,0.9736842105263158
multi_line,oracle_column,53,45,0.8490566037735849,2.42173478494984,0.24054626279072977,0.335621227272555,0.06368796603118207,0.005468088640433014,0.6,0.7555555555555555,0.8222222222222222
multi_line,oracle_local,53,46,0.8679245283018868,2.460350242945023,0.23440104788868865,0.35300310002056023,0.06418453959837662,0.007389175848044539,0.5652173913043478,0.717391304347826,0.8043478260869565
all,auto_column,65,44,0.676923076923077,3.745448077373284,0.16251442470161237,0.8791337059794025,0.018618439703702472,0.004372840242695589,0.7045454545454546,0.8863636363636364,0.9545454545454546
all,auto_local,65,45,0.6923076923076923,3.7288611335575714,0.11534220872331957,0.8612259171654083,0.019209908965643643,0.005057238114190593,0.6666666666666666,0.8444444444444444,0.9333333333333333
all,oracle_column,65,45,0.6923076923076923,2.42173478494984,0.24054626279072977,0.335621227272555,0.06368796603118207,0.005468088640433014,0.6,0.7555555555555555,0.8222222222222222
all,oracle_local,65,46,0.7076923076923077,2.460350242945023,0.23440104788868865,0.35300310002056023,0.06418453959837662,0.007389175848044539,0.5652173913043478,0.717391304347826,0.8043478260869565
