chart_id,chart_type,label_index,pseudo_gold,sample_id,status,outcome_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,2,26.0,fgmvp_0028,accepted,correct_within_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,3,19.0,fgmvp_0029,accepted,correct_within_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,4,20.0,fgmvp_0030,accepted,correct_within_2pct
ddd5a57d534dcad58790a9de7dcd8ada3a777c48cdcd35541f50d82a17c31ea8,bar,0,13.2,fgmvp_0031,accepted,correct_within_2pct
ddd5a57d534dcad58790a9de7dcd8ada3a777c48cdcd35541f50d82a17c31ea8,bar,1,12.0,fgmvp_0032,accepted,correct_within_2pct
ddd5a57d534dcad58790a9de7dcd8ada3a777c48cdcd35541f50d82a17c31ea8,bar,2,11.2,fgmvp_0033,accepted,correct_within_2pct
04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,line,0,30.0,fgmvp_0034,accepted,correct_within_2pct
04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,line,1,30.0,fgmvp_0035,accepted,correct_within_2pct
04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,line,2,23.0,fgmvp_0036,accepted,geometry_error_gt_2pct
ba9c96dfb37c559bf63e2a6628cbaadc3aeaaa91d47e6e3dce8d2df8274e5fb9,bar,0,2.59,,construction_failed,construction_failed
ba9c96dfb37c559bf63e2a6628cbaadc3aeaaa91d47e6e3dce8d2df8274e5fb9,bar,1,2.09,,construction_failed,construction_failed
ba9c96dfb37c559bf63e2a6628cbaadc3aeaaa91d47e6e3dce8d2df8274e5fb9,bar,2,1.19,,construction_failed,construction_failed
ddfb0123a96fac79fded7cb479ae5a2e03f045ec53336b8eac0ff9374a7e229f,bar,0,782.0,,construction_failed,construction_failed
ddfb0123a96fac79fded7cb479ae5a2e03f045ec53336b8eac0ff9374a7e229f,bar,1,935.0,,construction_failed,construction_failed
ddfb0123a96fac79fded7cb479ae5a2e03f045ec53336b8eac0ff9374a7e229f,bar,2,517.0,,construction_failed,construction_failed
ddfb0123a96fac79fded7cb479ae5a2e03f045ec53336b8eac0ff9374a7e229f,bar,3,492.0,,construction_failed,construction_failed
ddfb0123a96fac79fded7cb479ae5a2e03f045ec53336b8eac0ff9374a7e229f,bar,4,409.0,,construction_failed,construction_failed
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,line,0,75.0,fgmvp_0037,accepted,geometry_error_gt_2pct
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,line,1,79.0,fgmvp_0038,accepted,geometry_error_gt_2pct
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,line,2,70.0,fgmvp_0039,accepted,geometry_error_gt_2pct
f1d40aa21987750e8179647ae782b8b4b51a915699584e4f9370ae3afe789094,bar,0,21.4,fgmvp_0040,accepted,correct_within_2pct
f1d40aa21987750e8179647ae782b8b4b51a915699584e4f9370ae3afe789094,bar,1,17.4,fgmvp_0041,accepted,correct_within_2pct
5d753d0bfff6fb1f9f39897470fcb185c25ad7ddfd8c07fd87bd4e13704a9671,bar,0,52.1,fgmvp_0042,accepted,correct_within_2pct
5d753d0bfff6fb1f9f39897470fcb185c25ad7ddfd8c07fd87bd4e13704a9671,bar,1,51.6,fgmvp_0043,accepted,correct_within_2pct
5d753d0bfff6fb1f9f39897470fcb185c25ad7ddfd8c07fd87bd4e13704a9671,bar,2,50.0,fgmvp_0044,accepted,correct_within_2pct
5d753d0bfff6fb1f9f39897470fcb185c25ad7ddfd8c07fd87bd4e13704a9671,bar,3,48.5,fgmvp_0045,accepted,correct_within_2pct
5d753d0bfff6fb1f9f39897470fcb185c25ad7ddfd8c07fd87bd4e13704a9671,bar,4,47.2,fgmvp_0046,accepted,correct_within_2pct
a0b47eb2b96478aef9d4153530745d6f9c5d0ca9ae2eea829ca619526e513389,line,0,16.0,,construction_failed,construction_failed
41b6f61021b3f66a2b866d3a59504adb7637cf45b818c8d9c20202d0eb13fe1c,bar,0,7.2,fgmvp_0047,accepted,correct_within_2pct
41b6f61021b3f66a2b866d3a59504adb7637cf45b818c8d9c20202d0eb13fe1c,bar,1,4.1,fgmvp_0048,accepted,correct_within_2pct
41b6f61021b3f66a2b866d3a59504adb7637cf45b818c8d9c20202d0eb13fe1c,bar,2,3.1,fgmvp_0049,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,0,29.5,fgmvp_0050,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,1,25.7,fgmvp_0051,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,2,23.6,fgmvp_0052,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,3,16.1,fgmvp_0053,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,4,19.1,fgmvp_0054,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,5,15.6,fgmvp_0055,accepted,correct_within_2pct
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,bar,6,12.1,fgmvp_0056,accepted,correct_within_2pct
2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,line,0,7.0,fgmvp_0057,accepted,geometry_error_gt_2pct
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,bar,0,300.0,fgmvp_0058,accepted,correct_within_2pct
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,bar,1,105.0,fgmvp_0059,accepted,correct_within_2pct
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,bar,2,115.0,,construction_failed,construction_failed
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,bar,3,186.0,,construction_failed,construction_failed
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,bar,4,49.0,fgmvp_0060,accepted,correct_within_2pct
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,bar,5,133.0,fgmvp_0061,accepted,correct_within_2pct
5d1c7791a81855d279794d637f23b0b950f1e1b641b33b9af78ee4ce30fe2960,bar,0,0.81,fgmvp_0062,accepted,correct_within_2pct
5d1c7791a81855d279794d637f23b0b950f1e1b641b33b9af78ee4ce30fe2960,bar,1,0.6,fgmvp_0063,accepted,correct_within_2pct
5d1c7791a81855d279794d637f23b0b950f1e1b641b33b9af78ee4ce30fe2960,bar,2,0.57,fgmvp_0064,accepted,correct_within_2pct
eed22fe6e4f0cc57f853141845971691f8ebb2861c663a183e4793d03ff68e82,line,0,7.17,fgmvp_0065,accepted,geometry_error_gt_2pct
eed22fe6e4f0cc57f853141845971691f8ebb2861c663a183e4793d03ff68e82,line,1,7.31,fgmvp_0066,accepted,geometry_error_gt_2pct
859985823fb9f665b64de0e78e12e02c17933f96779ef9b89b6d22a4e9048d35,bar,0,10.4,fgmvp_0067,accepted,correct_within_2pct
859985823fb9f665b64de0e78e12e02c17933f96779ef9b89b6d22a4e9048d35,bar,1,6.2,fgmvp_0068,accepted,correct_within_2pct
859985823fb9f665b64de0e78e12e02c17933f96779ef9b89b6d22a4e9048d35,bar,2,6.4,fgmvp_0069,accepted,correct_within_2pct
