method,eligible_samples,total_samples,coverage,mae,median_absolute_error,mean_axis_normalized_error,median_axis_normalized_error,large_error_count_axis_gt_0_02
oracle_x_old_phase1_local_fit,17,17,1.0,1.5624342363674817,1.2149470737774521,0.04329620944969413,0.03922061532214941,9
auto_x_column,16,17,0.9411764705882353,0.1909627988227944,0.13075321733218992,0.005135064768666376,0.003124120876092022,0
auto_x_local_line_fit,17,17,1.0,0.17473729918241382,0.0745307953933505,0.005004125442921269,0.0018189691520577023,0
