subset,x_grounding_mode,method,total_samples,eligible_samples,coverage,mae,median_absolute_error,mean_relative_error,mean_axis_normalized_error,median_axis_normalized_error,within_1pct_axis_span,within_2pct_axis_span,within_5pct_axis_span
single_line,direct_anchor,auto_column,10,6,0.6,26.062974683093767,0.6279246659877527,6.3716137626880744,0.0905193366228144,0.010610970159690505,0.5,0.6666666666666666,0.6666666666666666
single_line,direct_anchor,auto_local,10,6,0.6,25.98771498219554,0.46382065894714763,6.359248587481953,0.08633862098985808,0.010247733146148266,0.5,0.6666666666666666,0.6666666666666666
single_line,piecewise_linear_interpolation,auto_column,2,1,0.5,0.014159652457235161,0.014159652457235161,0.0037262243308513582,0.0012056509344795412,0.0012056509344795412,1.0,1.0,1.0
single_line,piecewise_linear_interpolation,auto_local,2,1,0.5,0.012458946980953733,0.012458946980953733,0.0032786702581457197,0.0010608410845947404,0.0010608410845947404,1.0,1.0,1.0
multi_line,direct_anchor,auto_column,51,35,0.6862745098039216,0.22849492068341903,0.1707937225755991,0.011331287916624041,0.0068309196232135515,0.004104723051357541,0.7714285714285715,0.9428571428571428,1.0
multi_line,direct_anchor,auto_local,51,36,0.7058823529411765,0.31833683834624316,0.16004320129114546,0.01497803722165351,0.0085586165419359,0.003930364056221111,0.7222222222222222,0.8888888888888888,0.9722222222222222
multi_line,piecewise_linear_interpolation,auto_column,2,2,1.0,0.2051927147424979,0.2051927147424979,0.025939592776284992,0.017903744739534197,0.017903744739534197,0.0,0.5,1.0
multi_line,piecewise_linear_interpolation,auto_local,2,2,1.0,0.19993799473586038,0.19993799473586038,0.02859336865698514,0.01862157046026404,0.01862157046026404,0.0,0.5,1.0
